name,nationality,nationality2,position,played_in_khl,played_in_nhl,teams,gagarin_cup,stanley_cup,olympic_gold,world_gold,link
Вадим Шипачев,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Ak Bars Kazan / Dinamo Minsk / Dynamo Moskva / HK Belgorod / OAR / Россия / Россия (all) / SKA St. Petersburg / Severstal Cherepovets / Severstal Cherepovets-2 / Vegas Golden Knights",ИСТИНА,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/19550/vadim-shipachyov
Сергей Мозякин,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Atlant Mytishchi / CSKA Moskva / HK CSKA Moskva / HK CSKA Moskva-2 / Khimik Mytishchi / Metallurg Magnitogorsk / OAR / Россия / Россия (all) / Torpedo Yaroslavl-2 / Val-d'Or Foreurs",ИСТИНА,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/14828/sergei-mozyakin
Александр Радулов,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Ak Bars Kazan / CSKA Moskva / Dallas Stars / Dynamo Moskva / Dynamo Moskva-2 / Lokomotiv Yaroslavl / Milwaukee Admirals / Montréal Canadiens / Nashville Predators / Québec Remparts / Россия / Россия (all) / Россия U18 / Россия U20 / Salavat Yulaev Ufa / THK Tver",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/8794/alexander-radulov
Никита Гусев,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / Amur Khabarovsk / Belye Medvedi Moskva / CSKA Moskva / CSKA-Krasnaya Armiya Moskva / Dynamo Moskva / Florida Panthers / Krasnaya Armiya Moskva / New Jersey Devils / OAR / Россия / Россия (all) / Россия U20 / SKA St. Petersburg / THK Tver / Yugra Khanty-Mansiysk",ИСТИНА,ЛОЖЬ,ИСТИНА,ЛОЖЬ,https://www.eliteprospects.com/player/75169/nikita-gusev
Данис Зарипов,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Ak Bars Kazan / Ak Bars Kazan-2 / Mechel Chelyabinsk / Mechel Chelyabinsk-2 / Metallurg Magnitogorsk / Россия / Россия (all) / Swift Current Broncos / Zvezda Chebarkul",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/11045/danis-zaripov
Найджел Доус,Канада,Казахстан,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Adler Mannheim / Ak Bars Kazan / Atlanta Thrashers / Avtomobilist Yekaterinburg / Barys Astana / Calgary Flames / Канада U20 / Канада Western U17 / Chicago Wolves / Hamilton Bulldogs / Hartford Wolf Pack / Казахстан / Казахстан (all) / Kootenay Ice / Montréal Canadiens / New York Rangers / Phoenix Coyotes / Winnipeg Saints / Winnipeg Warriors U18 AAA",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9503/nigel-dawes
Сергей Широков,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Avangard Omsk / Avtomobilist Yekaterinburg / CSKA Moskva / CSKA Moskva-2 / HK CSKA Moskva-2 / Manitoba Moose / OAR / Россия / Россия (all) / Россия U18 / Россия U20 / SDYUSHOR CSKA Moskva / SKA St. Petersburg / Sibir Novosibirsk / Spartak Moskva / Vancouver Canucks",ИСТИНА,ЛОЖЬ,ИСТИНА,ИСТИНА,https://www.eliteprospects.com/player/9264/sergei-shirokov
Дмитрий Кагарлицкий,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Ak Bars Kazan / Atlant Mytishchi / Atlant Mytishchi-2 / Donbass Donetsk / Dynamo Moskva / HK Ryazan / Khimik Mytishchi / Khimik Mytishchi-2 / Krylia Sovetov Moskva / MHK Krylia Sovetov Moskva / Metallurg Novokuznetsk / Mytishchinskie Atlanty / Россия (all) / Россия II (all) / Россия U18 / SKA St. Petersburg / Severstal Cherepovets / Severstal Cherepovets-2 / Titan Klin / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/11862/dmitri-kagarlitsky
Сергей Плотников,Россия,N/A,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Amur Khabarovsk / Amur Khabarovsk-2 / Amurskie Tigry Khabarovsk / Arizona Coyotes / CSKA Moskva / Lokomotiv Yaroslavl / Metallurg Magnitogorsk / Pittsburgh Penguins / Россия / Россия (all) / Россия 25 (all) / Россия U20 (all) / SKA St. Petersburg / Yermak Angarsk",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/17760/sergei-plotnikov
Мэтт Эллисон,Канада,N/A,Нападающий,ИСТИНА,ИСТИНА,Chicago Blackhawks / Cowichan Valley Capitals / Dinamo Minsk / Dinamo Riga / EHC Biel-Bienne / HK MVD / Kerry Park Islanders / Medvescak Zagreb / Metallurg Magnitogorsk / Milwaukee Admirals / Norfolk Admirals / Philadelphia Flyers / Philadelphia Phantoms / Red Deer Rebels / Torpedo Nizhny Novgorod,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9145/matt-ellison
